code,name,type,date,price,quantity
SH600031,三一重工,BUY,2026/2/27,23.22,1000
SH600188,兖矿能源,BUY,2026/2/26,17.1,3000
SZ002738,中矿资源,BUY,2026/2/26,89.44,2000
SH600031,三一重工,BUY,2026/2/26,23.62,2000
SH601899,紫金矿业,BUY,2026/2/26,39.06,1000
SH601899,紫金矿业,BUY,2026/2/25,39.11,1000
SZ000807,云铝股份,BUY,2026/2/24,30.83,1000
SH600031,三一重工,BUY,2026/2/24,23.12,1000
SH513880,日经225ETF,BUY,2026/2/24,1.93,10000
SZ300651,金陵体育,BUY,2026/2/13,26.63,2000
"00700	",腾讯控股,BUY,2026/2/12,534.5,200
"00489	",东风集团股份,BUY,2026/2/12,9.29,10000
"03416	",A GX国指兑,BUY,2026/2/5,10.05,5000
SH601899,紫金矿业,BUY,2026/2/4,38.99,1000
JEPI,股票溢价收益ETF-JPMorgan Chase,BUY,2026/2/4,58.11,100
PBR.A,巴西石油公司,BUY,2026/2/4,14.29,200
"00700	",腾讯控股,BUY,2026/2/3,573.5,100
"02802	",A南方国指备兑,BUY,2026/2/3,8.73,3000
"03316	",滨江服务,BUY,2026/2/3,22.94,1000
SH601318,中国平安,BUY,2026/2/2,66.5,1000
"00762	",中国联通,BUY,2026/2/2,7.16,2000
"00941	",中国移动,BUY,2026/2/2,76.25,500
SZ000426,兴业银锡,BUY,2026/1/30,61.52,1000
SZ000426,兴业银锡,BUY,2026/1/29,68,1000
SH560280,工程机械ETF,BUY,2026/1/29,1.71,16500
SH600089,特变电工,BUY,2026/1/29,27.9,2000
SH600031,三一重工,BUY,2026/1/28,22.2,1000
SH600089,特变电工,BUY,2026/1/27,27.9,1000
SH560280,工程机械ETF,BUY,2026/1/26,1.75,13500
SZ159870,化工ETF,BUY,2026/1/26,0.93,50000
SILJ,ETFMG小市值银矿开采勘探 ETF-ETFMG,BUY,2026/1/23,38.74,10
SZ000426,兴业银锡,BUY,2026/1/22,51.5,500
SH600096,云天化,BUY,2026/1/22,36.7,2000
SH601899,紫金矿业,BUY,2026/1/22,37.52,2000
SZ000426,兴业银锡,BUY,2026/1/22,51.88,1500
SH512400,有色金属ETF,BUY,2026/1/22,2.24,20000
SH600111,北方稀土,BUY,2026/1/21,49.99,500
SH600549,厦门钨业,BUY,2026/1/20,54.42,600
CDE,科尔黛伦矿业,BUY,2026/1/20,22.72,200
CDE,科尔黛伦矿业,BUY,2026/1/20,23.2,300
EXK,Endeavour Silver,BUY,2026/1/20,12.04,500
